CENTRO,AÑO,MES,INCIDENTE_POLICIAL,INCIDENTE_TRÁNSITO,INCIDENTE_SALUD,INCIDENTE_SERVICIOS_MUNICIPALES,INCIDENTE_BOMBEROS,INCIDENTE_GESTIÓN_DE_RIESGO,INCIDENTE_MILITAR,TOTAL_DE_INCIDENTES_RECEPTADOS,INCIDENTE_CLAVES_ROJAS,DE_LLAMADAS_MALINTENCIONADAS_O_INDEBIDAS,CANTIDAD_DE_TELEFONOS_ENVIADOS_A_SANCIÓN,DE_LLAMADAS_GENERADAS_POR_LOS_TELEFONOS_SANCIONADOS,DE_LLAMADAS_NORMALES,TOTAL_DE_LLAMADAS_RECIBIDAS
ESMERALDAS,2015,OCTUBRE, 6.079 , 454 , 822 , 50 , 217 , 13 , 267 , 7.902 , 4.133 , 33.934 ,,, 8.722 , 57.561 
ESMERALDAS,2015,NOVIEMBRE, 5.921 , 420 , 865 , 57 , 161 , 6 , 294 , 7.724 , 3.939 , 32.021 ,,, 8.500 , 52.905 
ESMERALDAS,2015,DICIEMBRE, 6.338 , 449 , 866 , 132 , 105 , 51 , 246 , 8.187 , 4.100 , 33.560 ,,, 9.013 , 55.776 
ESMERALDAS,2016,ENERO, 6.048 , 394 , 947 , 147 , 303 , 89 , 313 , 8.241 , 4.818 , 34.767 ,,, 9.188 , 57.918 
ESMERALDAS,2016,FEBRERO, 5.580 , 356 , 1.014 , 111 , 95 , 27 , 303 , 7.486 , 3.920 , 30.991 ,,, 8.245 , 50.872  
SANTO DOMINGO,2013,MAYO,5636,976,442,129,102,1,0,7286,2640,38909,1744,15502,9514,55225
SANTO DOMINGO,2013,JUNIO,5631,851,490,98,96,0,0,7166,2733,31973,1351,11515,9359,58214
SANTO DOMINGO,2013,JULIO,5649,762,538,115,116,0,0,7180,2911,28605,1149,10491,9288,44455
SANTO DOMINGO,2013,AGOSTO,5717,797,620,165,94,0,0,7393,4477,27402,1243,10576,9653,44753
SANTO DOMINGO,2013,SEPTIEMBRE,5926,702,704,90,98,3,0,7523,3218,27183,1095,10310,9979,45145
SANTO DOMINGO,2013,OCTUBRE,6013,722,825,110,108,5,0,7783,3289,28888,1207,11099,9980,47047
SANTO DOMINGO,2013,NOVIEMBRE,6158,690,761,136,105,6,0,7856,3310,26482,,,9762,43293
SANTO DOMINGO,2013,DICIEMBRE,7035,919,897,168,143,5,,9167,3831,29699,1220,10580,11363,80605
SANTO DOMINGO,2014,ENERO, 5.750 , 871 , 942 , 98 , 135 , 58 ,, 7.854 , 3.533 , 33.130 , 1.026 , 9.529 , 9.801 , 54.025 
SANTO DOMINGO,2014,FEBRERO, 5.545 , 770 , 846 ,, 114 , 15 ,, 7.290 , 3.138 , 29.054 ,,, 8.291 , 48.233 
SANTO DOMINGO,2014,MARZO, 6.721 , 427 , 1.132 ,, 180 , 5 , 0   , 8.465 , 3.763 , 36.025 ,,, 11.049 , 66.933 
SANTO DOMINGO,2014,ABRIL, 6.029 , 746 , 1.035 , 0   , 245 , 16 , 0   , 8.071 , 3.335 , 34.413 ,,, 10.288 , 61.707 
SANTO DOMINGO,2014,MAYO, 6.247 , 674 , 1.169 , 0   , 190 , 10 , 0   , 8.290 , 3.527 , 27.826 ,,, 8.303 , 57.913 
SANTO DOMINGO,2014,JUNIO, 6.704 , 577 , 1.316 , 2 , 113 , 4 , 0   , 8.716 , 3.846 , 22.835 ,,, 11.225 , 49.696 
SANTO DOMINGO,2014,JULIO, 7.978 , 1.064 , 1.942 , 0   , 187 , 7 , 103 , 11.281 , 5.896 , 26.787 ,,, 11.239 , 48.538 
